D0,D1,D2,mode,I_rms_sq_original,k
0.01,0.52,0.49,1,-522942933333333.7,0.98
0.01,0.55,0.49,1,-523483733333333.25,0.98
0.01,0.55,0.52,1,-1244600533333330.8,0.98
0.01,0.58,0.49,1,-524082133333335.06,0.98
0.01,0.58,0.52,1,-1245198933333332.5,0.98
0.01,0.58,0.55,1,-1870334933333339.5,0.98
0.01,0.61,0.49,1,-524738133333336.1,0.98
0.01,0.61,0.52,1,-1245854933333333.5,0.98
0.01,0.61,0.55,1,-1870990933333340.5,0.98
0.01,0.61,0.58,1,-2400146133333343.5,0.98
0.01,0.64,0.49,1,-525451733333336.5,0.98
0.01,0.64,0.52,1,-1246568533333334.0,0.98
0.01,0.64,0.55,1,-1871704533333341.0,0.98
0.01,0.64,0.58,1,-2400859733333344.0,0.98
0.01,0.64,0.61,1,-2834034133333326.5,0.98
0.01,0.6699999999999999,0.49,1,-526222933333336.2,0.98
0.01,0.6699999999999999,0.52,1,-1247339733333333.8,0.98
0.01,0.6699999999999999,0.55,1,-1872475733333340.8,0.98
0.01,0.6699999999999999,0.58,1,-2401630933333343.5,0.98
0.01,0.6699999999999999,0.61,1,-2834805333333326.0,0.98
0.01,0.6699999999999999,0.64,1,-3171998933333347.5,0.98
0.01,0.7,0.49,1,-527051733333335.2,0.98
0.01,0.7,0.52,1,-1248168533333332.5,0.98
0.01,0.7,0.55,1,-1873304533333339.5,0.98
0.01,0.7,0.58,1,-2402459733333342.5,0.98
0.01,0.7,0.61,1,-2835634133333325.0,0.98
0.01,0.7,0.64,1,-3172827733333346.5,0.98
0.01,0.7,0.6699999999999999,1,-3414040533333345.0,0.98
0.01,0.73,0.49,1,-527938133333333.44,0.98
0.01,0.73,0.52,1,-1249054933333330.8,0.98
0.01,0.73,0.55,1,-1874190933333337.8,0.98
0.01,0.73,0.58,1,-2403346133333340.5,0.98
0.01,0.73,0.61,1,-2836520533333323.5,0.98
0.01,0.73,0.64,1,-3173714133333345.0,0.98
0.01,0.73,0.6699999999999999,1,-3414926933333343.0,0.98
0.01,0.73,0.7,1,-3560158933333336.0,0.98
0.01,0.76,0.49,1,-528882133333333.94,0.98
0.01,0.76,0.52,1,-1249998933333331.2,0.98
0.01,0.76,0.55,1,-1875134933333338.2,0.98
0.01,0.76,0.58,1,-2404290133333341.0,0.98
0.01,0.76,0.61,1,-2837464533333324.0,0.98
0.01,0.76,0.64,1,-3174658133333345.5,0.98
0.01,0.76,0.6699999999999999,1,-3415870933333343.5,0.98
0.01,0.76,0.7,1,-3561102933333336.5,0.98
0.01,0.76,0.73,1,-3610354133333324.0,0.98
0.01,0.79,0.49,1,-529883733333336.7,0.98
0.01,0.79,0.52,1,-1251000533333334.0,0.98
0.01,0.79,0.55,1,-1876136533333341.0,0.98
0.01,0.79,0.58,1,-2405291733333344.0,0.98
0.01,0.79,0.61,1,-2838466133333326.5,0.98
0.01,0.79,0.64,1,-3175659733333348.0,0.98
0.01,0.79,0.6699999999999999,1,-3416872533333346.5,0.98
0.01,0.79,0.7,1,-3562104533333339.5,0.98
0.01,0.79,0.73,1,-3611355733333327.0,0.98
0.01,0.79,0.76,1,-3564626133333335.5,0.98
0.01,0.82,0.49,1,-530942933333332.75,0.98
0.01,0.82,0.52,1,-1252059733333330.2,0.98
0.01,0.82,0.55,1,-1877195733333337.2,0.98
0.01,0.82,0.58,1,-2406350933333340.0,0.98
0.01,0.82,0.61,1,-2839525333333322.5,0.98
0.01,0.82,0.64,1,-3176718933333344.0,0.98
0.01,0.82,0.6699999999999999,1,-3417931733333342.5,0.98
0.01,0.82,0.7,1,-3563163733333335.5,0.98
0.01,0.82,0.73,1,-3612414933333323.0,0.98
0.01,0.82,0.76,1,-3565685333333331.5,0.98
0.01,0.82,0.79,1,-3422974933333338.0,0.98
0.01,0.85,0.49,1,-532059733333337.06,0.98
0.01,0.85,0.52,1,-1253176533333334.5,0.98
0.01,0.85,0.55,1,-1878312533333341.5,0.98
0.01,0.85,0.58,1,-2407467733333344.5,0.98
0.01,0.85,0.61,1,-2840642133333327.0,0.98
0.01,0.85,0.64,1,-3177835733333348.5,0.98
0.01,0.85,0.6699999999999999,1,-3419048533333347.0,0.98
0.01,0.85,0.7,1,-3564280533333340.0,0.98
0.01,0.85,0.73,1,-3613531733333327.0,0.98
0.01,0.85,0.76,1,-3566802133333336.0,0.98
0.01,0.85,0.79,1,-3424091733333342.0,0.98
0.01,0.85,0.82,1,-3185400533333322.0,0.98
0.01,0.88,0.49,1,-533234133333334.7,0.98
0.01,0.88,0.52,1,-1254350933333332.2,0.98
0.01,0.88,0.55,1,-1879486933333339.2,0.98
0.01,0.88,0.58,1,-2408642133333342.0,0.98
0.01,0.88,0.61,1,-2841816533333324.5,0.98
0.01,0.88,0.64,1,-3179010133333346.0,0.98
0.01,0.88,0.6699999999999999,1,-3420222933333344.5,0.98
0.01,0.88,0.7,1,-3565454933333337.5,0.98
0.01,0.88,0.73,1,-3614706133333325.0,0.98
0.01,0.88,0.76,1,-3567976533333333.5,0.98
0.01,0.88,0.79,1,-3425266133333339.5,0.98
0.01,0.88,0.82,1,-3186574933333319.5,0.98
0.01,0.88,0.85,1,-2851902933333347.5,0.98
0.01,0.9099999999999999,0.49,1,-534466133333334.6,0.98
0.01,0.9099999999999999,0.52,1,-1255582933333332.0,0.98
0.01,0.9099999999999999,0.55,1,-1880718933333339.0,0.98
0.01,0.9099999999999999,0.58,1,-2409874133333342.0,0.98
0.01,0.9099999999999999,0.61,1,-2843048533333324.5,0.98
0.01,0.9099999999999999,0.64,1,-3180242133333346.0,0.98
0.01,0.9099999999999999,0.6699999999999999,1,-3421454933333344.5,0.98
0.01,0.9099999999999999,0.7,1,-3566686933333337.5,0.98
0.01,0.9099999999999999,0.73,1,-3615938133333325.0,0.98
0.01,0.9099999999999999,0.76,1,-3569208533333333.5,0.98
0.01,0.9099999999999999,0.79,1,-3426498133333339.5,0.98
0.01,0.9099999999999999,0.82,1,-3187806933333319.5,0.98
0.01,0.9099999999999999,0.85,1,-2853134933333347.5,0.98
0.01,0.9099999999999999,0.88,1,-2422482133333322.5,0.98
0.01,0.94,0.49,1,-535755733333336.75,0.98
0.01,0.94,0.52,1,-1256872533333334.2,0.98
0.01,0.94,0.55,1,-1882008533333341.2,0.98
0.01,0.94,0.58,1,-2411163733333344.0,0.98
0.01,0.94,0.61,1,-2844338133333326.5,0.98
0.01,0.94,0.64,1,-3181531733333348.0,0.98
0.01,0.94,0.6699999999999999,1,-3422744533333346.5,0.98
0.01,0.94,0.7,1,-3567976533333339.5,0.98
0.01,0.94,0.73,1,-3617227733333327.0,0.98
0.01,0.94,0.76,1,-3570498133333335.5,0.98
0.01,0.94,0.79,1,-3427787733333342.0,0.98
0.01,0.94,0.82,1,-3189096533333322.0,0.98
0.01,0.94,0.85,1,-2854424533333349.5,0.98
0.01,0.94,0.88,1,-2423771733333324.5,0.98
0.01,0.94,0.9099999999999999,1,-1897138133333347.5,0.98
0.01,0.97,0.49,1,-537102933333335.25,0.98
0.01,0.97,0.52,1,-1258219733333332.8,0.98
0.01,0.97,0.55,1,-1883355733333339.8,0.98
0.01,0.97,0.58,1,-2412510933333342.5,0.98
0.01,0.97,0.61,1,-2845685333333325.0,0.98
0.01,0.97,0.64,1,-3182878933333346.5,0.98
0.01,0.97,0.6699999999999999,1,-3424091733333345.0,0.98
0.01,0.97,0.7,1,-3569323733333338.0,0.98
0.01,0.97,0.73,1,-3618574933333325.5,0.98
0.01,0.97,0.76,1,-3571845333333334.0,0.98
0.01,0.97,0.79,1,-3429134933333340.0,0.98
0.01,0.97,0.82,1,-3190443733333320.5,0.98
0.01,0.97,0.85,1,-2855771733333348.0,0.98
0.01,0.97,0.88,1,-2425118933333323.0,0.98
0.01,0.97,0.9099999999999999,1,-1898485333333346.0,0.98
0.01,0.97,0.94,1,-1275870933333319.0,0.98
0.04,0.49,0.43,1,-642862933333327.6,0.98
0.04,0.52,0.43,1,-643326933333329.1,0.98
0.04,0.52,0.45999999999999996,1,-1368226133333326.8,0.98
0.04,0.55,0.43,1,-643848533333328.4,0.98
0.04,0.55,0.45999999999999996,1,-1368747733333327.5,0.98
0.04,0.55,0.49,1,-1997666133333330.0,0.98
0.04,0.58,0.43,1,-644427733333328.5,0.98
0.04,0.58,0.45999999999999996,1,-1369326933333327.5,0.98
0.04,0.58,0.49,1,-1998245333333330.0,0.98
0.04,0.58,0.52,1,-2531182933333339.0,0.98
0.04,0.61,0.43,1,-645064533333327.9,0.98
0.04,0.61,0.45999999999999996,1,-1369963733333329.8,0.98
0.04,0.61,0.49,1,-1998882133333332.2,0.98
0.04,0.61,0.52,1,-2531819733333341.0,0.98
0.04,0.61,0.55,1,-2968776533333335.5,0.98
0.04,0.64,0.43,1,-645758933333328.0,0.98
0.04,0.64,0.45999999999999996,1,-1370658133333331.5,0.98
0.04,0.64,0.49,1,-1999576533333334.0,0.98
0.04,0.64,0.52,1,-2532514133333343.0,0.98
0.04,0.64,0.55,1,-2969470933333337.5,0.98
0.04,0.64,0.58,1,-3310446933333334.0,0.98
0.04,0.6699999999999999,0.43,1,-646510933333328.9,0.98
0.04,0.6699999999999999,0.45999999999999996,1,-1371410133333329.2,0.98
0.04,0.6699999999999999,0.49,1,-2000328533333331.8,0.98
0.04,0.6699999999999999,0.52,1,-2533266133333340.5,0.98
0.04,0.6699999999999999,0.55,1,-2970222933333335.5,0.98
0.04,0.6699999999999999,0.58,1,-3311198933333332.0,0.98
0.04,0.6699999999999999,0.61,1,-3556194133333337.5,0.98
0.04,0.7,0.43,1,-647320533333327.5,0.98
0.04,0.7,0.45999999999999996,1,-1372219733333329.5,0.98
0.04,0.7,0.49,1,-2001138133333332.0,0.98
0.04,0.7,0.52,1,-2534075733333341.0,0.98
0.04,0.7,0.55,1,-2971032533333335.5,0.98
0.04,0.7,0.58,1,-3312008533333332.0,0.98
0.04,0.7,0.61,1,-3557003733333337.5,0.98
0.04,0.7,0.64,1,-3706018133333329.0,0.98
0.04,0.73,0.43,1,-648187733333330.0,0.98
0.04,0.73,0.45999999999999996,1,-1373086933333329.0,0.98
0.04,0.73,0.49,1,-2002005333333331.5,0.98
0.04,0.73,0.52,1,-2534942933333340.5,0.98
0.04,0.73,0.55,1,-2971899733333335.0,0.98
0.04,0.73,0.58,1,-3312875733333331.5,0.98
0.04,0.73,0.61,1,-3557870933333337.0,0.98
0.04,0.73,0.64,1,-3706885333333328.5,0.98
0.04,0.73,0.6699999999999999,1,-3759918933333332.5,0.98
0.04,0.76,0.43,1,-649112533333328.8,0.98
0.04,0.76,0.45999999999999996,1,-1374011733333327.8,0.98
0.04,0.76,0.49,1,-2002930133333330.2,0.98
0.04,0.76,0.52,1,-2535867733333339.0,0.98
0.04,0.76,0.55,1,-2972824533333333.5,0.98
0.04,0.76,0.58,1,-3313800533333330.0,0.98
0.04,0.76,0.61,1,-3558795733333335.5,0.98
0.04,0.76,0.64,1,-3707810133333327.0,0.98
0.04,0.76,0.6699999999999999,1,-3760843733333331.0,0.98
0.04,0.76,0.7,1,-3717896533333329.5,0.98
0.04,0.79,0.43,1,-650094933333329.8,0.98
0.04,0.79,0.45999999999999996,1,-1374994133333328.8,0.98
0.04,0.79,0.49,1,-2003912533333331.2,0.98
0.04,0.79,0.52,1,-2536850133333340.0,0.98
0.04,0.79,0.55,1,-2973806933333334.5,0.98
0.04,0.79,0.58,1,-3314782933333331.0,0.98
0.04,0.79,0.61,1,-3559778133333336.5,0.98
0.04,0.79,0.64,1,-3708792533333328.5,0.98
0.04,0.79,0.6699999999999999,1,-3761826133333332.0,0.98
0.04,0.79,0.7,1,-3718878933333330.5,0.98
0.04,0.79,0.73,1,-3579950933333335.5,0.98
0.04,0.82,0.43,1,-651134933333328.6,0.98
0.04,0.82,0.45999999999999996,1,-1376034133333329.0,0.98
0.04,0.82,0.49,1,-2004952533333331.5,0.98
0.04,0.82,0.52,1,-2537890133333340.5,0.98
0.04,0.82,0.55,1,-2974846933333335.0,0.98
0.04,0.82,0.58,1,-3315822933333331.5,0.98
0.04,0.82,0.61,1,-3560818133333337.0,0.98
0.04,0.82,0.64,1,-3709832533333328.5,0.98
0.04,0.82,0.6699999999999999,1,-3762866133333332.5,0.98
0.04,0.82,0.7,1,-3719918933333331.0,0.98
0.04,0.82,0.73,1,-3580990933333335.5,0.98
0.04,0.82,0.76,1,-3346082133333332.0,0.98
0.04,0.85,0.43,1,-652232533333328.1,0.98
0.04,0.85,0.45999999999999996,1,-1377131733333328.8,0.98
0.04,0.85,0.49,1,-2006050133333331.2,0.98
0.04,0.85,0.52,1,-2538987733333340.0,0.98
0.04,0.85,0.55,1,-2975944533333334.5,0.98
0.04,0.85,0.58,1,-3316920533333331.0,0.98
0.04,0.85,0.61,1,-3561915733333336.5,0.98
0.04,0.85,0.64,1,-3710930133333328.0,0.98
0.04,0.85,0.6699999999999999,1,-3763963733333332.0,0.98
0.04,0.85,0.7,1,-3721016533333330.5,0.98
0.04,0.85,0.73,1,-3582088533333335.0,0.98
0.04,0.85,0.76,1,-3347179733333331.5,0.98
0.04,0.85,0.79,1,-3016290133333338.0,0.98
0.04,0.88,0.43,1,-653387733333328.5,0.98
0.04,0.88,0.45999999999999996,1,-1378286933333330.5,0.98
0.04,0.88,0.49,1,-2007205333333333.0,0.98
0.04,0.88,0.52,1,-2540142933333342.0,0.98
0.04,0.88,0.55,1,-2977099733333336.5,0.98
0.04,0.88,0.58,1,-3318075733333333.0,0.98
0.04,0.88,0.61,1,-3563070933333338.5,0.98
0.04,0.88,0.64,1,-3712085333333330.0,0.98
0.04,0.88,0.6699999999999999,1,-3765118933333334.0,0.98
0.04,0.88,0.7,1,-3722171733333332.0,0.98
0.04,0.88,0.73,1,-3583243733333337.0,0.98
0.04,0.88,0.76,1,-3348334933333333.5,0.98
0.04,0.88,0.79,1,-3017445333333339.5,0.98
0.04,0.88,0.82,1,-2590574933333343.0,0.98
0.04,0.9099999999999999,0.43,1,-654600533333329.6,0.98
0.04,0.9099999999999999,0.45999999999999996,1,-1379499733333328.8,0.98
0.04,0.9099999999999999,0.49,1,-2008418133333331.2,0.98
0.04,0.9099999999999999,0.52,1,-2541355733333340.0,0.98
0.04,0.9099999999999999,0.55,1,-2978312533333334.5,0.98
0.04,0.9099999999999999,0.58,1,-3319288533333331.0,0.98
0.04,0.9099999999999999,0.61,1,-3564283733333336.5,0.98
0.04,0.9099999999999999,0.64,1,-3713298133333328.0,0.98
0.04,0.9099999999999999,0.6699999999999999,1,-3766331733333332.0,0.98
0.04,0.9099999999999999,0.7,1,-3723384533333330.5,0.98
0.04,0.9099999999999999,0.73,1,-3584456533333335.0,0.98
0.04,0.9099999999999999,0.76,1,-3349547733333331.5,0.98
0.04,0.9099999999999999,0.79,1,-3018658133333338.0,0.98
0.04,0.9099999999999999,0.82,1,-2591787733333341.0,0.98
0.04,0.9099999999999999,0.85,1,-2068936533333327.0,0.98
0.04,0.94,0.43,1,-655870933333328.6,0.98
0.04,0.94,0.45999999999999996,1,-1380770133333329.0,0.98
0.04,0.94,0.49,1,-2009688533333331.5,0.98
0.04,0.94,0.52,1,-2542626133333340.5,0.98
0.04,0.94,0.55,1,-2979582933333335.0,0.98
0.04,0.94,0.58,1,-3320558933333331.5,0.98
0.04,0.94,0.61,1,-3565554133333337.0,0.98
0.04,0.94,0.64,1,-3714568533333328.5,0.98
0.04,0.94,0.6699999999999999,1,-3767602133333332.5,0.98
0.04,0.94,0.7,1,-3724654933333331.0,0.98
0.04,0.94,0.73,1,-3585726933333335.5,0.98
0.04,0.94,0.76,1,-3350818133333332.0,0.98
0.04,0.94,0.79,1,-3019928533333338.0,0.98
0.04,0.94,0.82,1,-2593058133333341.5,0.98
0.04,0.94,0.85,1,-2070206933333327.5,0.98
0.04,0.94,0.88,1,-1451374933333337.5,0.98
0.04,0.97,0.43,1,-657198933333329.8,0.98
0.04,0.97,0.45999999999999996,1,-1382098133333328.8,0.98
0.04,0.97,0.49,1,-2011016533333331.2,0.98
0.04,0.97,0.52,1,-2543954133333340.0,0.98
0.04,0.97,0.55,1,-2980910933333334.5,0.98
0.04,0.97,0.58,1,-3321886933333331.0,0.98
0.04,0.97,0.61,1,-3566882133333336.5,0.98
0.04,0.97,0.64,1,-3715896533333328.5,0.98
0.04,0.97,0.6699999999999999,1,-3768930133333332.0,0.98
0.04,0.97,0.7,1,-3725982933333330.5,0.98
0.04,0.97,0.73,1,-3587054933333335.5,0.98
0.04,0.97,0.76,1,-3352146133333331.5,0.98
0.04,0.97,0.79,1,-3021256533333338.0,0.98
0.04,0.97,0.82,1,-2594386133333341.0,0.98
0.04,0.97,0.85,1,-2071534933333327.2,0.98
0.04,0.97,0.88,1,-1452702933333337.2,0.98
0.04,0.97,0.9099999999999999,1,-737890133333318.4,0.98
0.06999999999999999,0.43,0.33999999999999997,1,-118482133333334.48,0.98
0.06999999999999999,0.45999999999999996,0.33999999999999997,1,-118811733333334.19,0.98
0.06999999999999999,0.45999999999999996,0.37,1,-943474133333340.2,0.98
0.06999999999999999,0.49,0.33999999999999997,1,-119198933333334.67,0.98
0.06999999999999999,0.49,0.37,1,-943861333333340.8,0.98
0.06999999999999999,0.49,0.4,1,-1672542933333334.0,0.98
0.06999999999999999,0.52,0.33999999999999997,1,-119643733333334.44,0.98
0.06999999999999999,0.52,0.37,1,-944306133333340.5,0.98
0.06999999999999999,0.52,0.4,1,-1672987733333333.8,0.98
0.06999999999999999,0.52,0.43,1,-2305688533333329.0,0.98
0.06999999999999999,0.55,0.33999999999999997,1,-120146133333334.97,0.98
0.06999999999999999,0.55,0.37,1,-944808533333341.0,0.98
0.06999999999999999,0.55,0.4,1,-1673490133333334.2,0.98
0.06999999999999999,0.55,0.43,1,-2306190933333328.0,0.98
0.06999999999999999,0.55,0.45999999999999996,1,-2842910933333328.0,0.98
0.06999999999999999,0.58,0.33999999999999997,1,-120706133333334.78,0.98
0.06999999999999999,0.58,0.37,1,-945368533333340.9,0.98
0.06999999999999999,0.58,0.4,1,-1674050133333334.0,0.98
0.06999999999999999,0.58,0.43,1,-2306750933333329.5,0.98
0.06999999999999999,0.58,0.45999999999999996,1,-2843470933333329.5,0.98
0.06999999999999999,0.58,0.49,1,-3284210133333325.5,0.98
0.06999999999999999,0.61,0.33999999999999997,1,-121323733333333.89,0.98
0.06999999999999999,0.61,0.37,1,-945986133333340.0,0.98
0.06999999999999999,0.61,0.4,1,-1674667733333333.2,0.98
0.06999999999999999,0.61,0.43,1,-2307368533333330.0,0.98
0.06999999999999999,0.61,0.45999999999999996,1,-2844088533333330.0,0.98
0.06999999999999999,0.61,0.49,1,-3284827733333326.0,0.98
0.06999999999999999,0.61,0.52,1,-3629586133333334.5,0.98
0.06999999999999999,0.64,0.33999999999999997,1,-121998933333333.77,0.98
0.06999999999999999,0.64,0.37,1,-946661333333339.9,0.98
0.06999999999999999,0.64,0.4,1,-1675342933333333.0,0.98
0.06999999999999999,0.64,0.43,1,-2308043733333332.5,0.98
0.06999999999999999,0.64,0.45999999999999996,1,-2844763733333333.0,0.98
0.06999999999999999,0.64,0.49,1,-3285502933333329.0,0.98
0.06999999999999999,0.64,0.52,1,-3630261333333337.5,0.98
0.06999999999999999,0.64,0.55,1,-3879038933333325.5,0.98
0.06999999999999999,0.6699999999999999,0.33999999999999997,1,-122731733333334.4,0.98
0.06999999999999999,0.6699999999999999,0.37,1,-947394133333340.5,0.98
0.06999999999999999,0.6699999999999999,0.4,1,-1676075733333333.8,0.98
0.06999999999999999,0.6699999999999999,0.43,1,-2308776533333332.0,0.98
0.06999999999999999,0.6699999999999999,0.45999999999999996,1,-2845496533333332.0,0.98
0.06999999999999999,0.6699999999999999,0.49,1,-3286235733333328.0,0.98
0.06999999999999999,0.6699999999999999,0.52,1,-3630994133333336.5,0.98
0.06999999999999999,0.6699999999999999,0.55,1,-3879771733333325.0,0.98
0.06999999999999999,0.6699999999999999,0.58,1,-4032568533333338.5,0.98
0.06999999999999999,0.7,0.33999999999999997,1,-123522133333334.34,0.98
0.06999999999999999,0.7,0.37,1,-948184533333340.4,0.98
0.06999999999999999,0.7,0.4,1,-1676866133333333.8,0.98
0.06999999999999999,0.7,0.43,1,-2309566933333330.5,0.98
0.06999999999999999,0.7,0.45999999999999996,1,-2846286933333330.5,0.98
0.06999999999999999,0.7,0.49,1,-3287026133333326.5,0.98
0.06999999999999999,0.7,0.52,1,-3631784533333335.0,0.98
0.06999999999999999,0.7,0.55,1,-3880562133333323.0,0.98
0.06999999999999999,0.7,0.58,1,-4033358933333337.0,0.98
0.06999999999999999,0.7,0.61,1,-4090174933333336.5,0.98
0.06999999999999999,0.73,0.33999999999999997,1,-124370133333335.05,0.98
0.06999999999999999,0.73,0.37,1,-949032533333341.1,0.98
0.06999999999999999,0.73,0.4,1,-1677714133333334.2,0.98
0.06999999999999999,0.73,0.43,1,-2310414933333331.0,0.98
0.06999999999999999,0.73,0.45999999999999996,1,-2847134933333331.0,0.98
0.06999999999999999,0.73,0.49,1,-3287874133333327.5,0.98
0.06999999999999999,0.73,0.52,1,-3632632533333335.5,0.98
0.06999999999999999,0.73,0.55,1,-3881410133333324.0,0.98
0.06999999999999999,0.73,0.58,1,-4034206933333338.0,0.98
0.06999999999999999,0.73,0.61,1,-4091022933333337.5,0.98
0.06999999999999999,0.73,0.64,1,-4051858133333334.5,0.98
